l.a1ɪ1.t.ɪ0.n.ʌ0.n, l.a1ɪ1.ɾ.ɪ0.n.ʌ0.n
ʌ0.n.d.ɚ0.w.e1ɪ1.t.ɪ0.d, ʌ0.n.d.ɚ0.w.e1ɪ1.ɾ.ɪ0.d
l.ɪ1.t.ɪ0.g.e2ɪ2.t, l.ɪ1.ɾ.ɪ0.g.e2ɪ2.t
s.æ2.t.ɪ0.s.f.æ1.k.t.ɚ0.i0, s.æ2.ɾ.ɪ0.s.f.æ1.k.t.ɚ0.i0
ɹ.i2.ɪ0.n.v.ɪ1.g.ɚ0.e2ɪ2.t.ɪ0.ŋ, ɹ.i2.ɪ0.n.v.ɪ1.g.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
h.u1.t.ʌ0.n, h.u1.ɾ.ʌ0.n
ɪ2.n.ɪ1.ʃ.i0.e2ɪ2.t.ʌ0.d, ɪ2.n.ɪ1.ʃ.i0.e2ɪ2.ɾ.ʌ0.d
d.æ1.t.ɚ0.ɛ2.k.s, d.æ1.ɾ.ɚ0.ɛ2.k.s
s.u0.m.i1.t.ʌ0.z, s.u0.m.i1.ɾ.ʌ0.z
m.e1ɪ1.t.i0, m.e1ɪ1.ɾ.i0
b.j.u1.t.ɪ0.n.h.ɔ0.f, b.j.u1.ɾ.ɪ0.n.h.ɔ0.f
b.æ1.t.ʌ0.l.g.ɹ.a2ʊ2.n.d.z, b.æ1.ɾ.ʌ0.l.g.ɹ.a2ʊ2.n.d.z
ɪ2.t.ɑ1.m.i2, ɪ2.ɾ.ɑ1.m.i2
ɛ0.k.s.t.ɹ.æ1.p.ʌ0.l.e2ɪ2.t.ɪ0.d, ɛ0.k.s.t.ɹ.æ1.p.ʌ0.l.e2ɪ2.ɾ.ɪ0.d
d.ʌ1.t.ɚ0, d.ʌ1.ɾ.ɚ0
ɪ2.n.v.ɚ1.t.ʌ0.b.ɹ.e2ɪ2.t.s, ɪ2.n.v.ɚ1.ɾ.ʌ0.b.ɹ.e2ɪ2.t.s
a1ʊ1.t.ɪ0.dʒ, a1ʊ1.ɾ.ɪ0.dʒ
t.o1ʊ1.t.ɪ0.ŋ, t.o1ʊ1.ɾ.ɪ0.ŋ
f.a1ɪ1.ɹ.f.a2ɪ2.t.ɚ0, f.a1ɪ1.ɹ.f.a2ɪ2.ɾ.ɚ0
h.a1ʊ1.t.ɛ0.n.z, h.a1ʊ1.ɾ.ɛ0.n.z
m.a1ɪ1.t.ɚ0.ɪ0.ŋ, m.a1ɪ1.ɾ.ɚ0.ɪ0.ŋ
n.u1.t.ɚ0.ɪ0.ŋ, n.u1.ɾ.ɚ0.ɪ0.ŋ
f.l.a1ɪ1.t.i0.ɚ0, f.l.a1ɪ1.ɾ.i0.ɚ0
p.ɚ1.k.ʌ0.l.e2ɪ2.t.ɚ0.z, p.ɚ1.k.ʌ0.l.e2ɪ2.ɾ.ɚ0.z
θ.i2.ɚ0.ɛ1.t.ɪ0.k.ʌ0.l, θ.i2.ɚ0.ɛ1.ɾ.ɪ0.k.ʌ0.l
b.i1.t.ɪ0.ŋ.z, b.i1.ɾ.ɪ0.ŋ.z
p.e2ɪ2.t.ɹ.i0.ɑ1.t.ɪ0.k, p.e2ɪ2.t.ɹ.i0.ɑ1.ɾ.ɪ0.k
m.i1.t.ɚ0.z, m.i1.ɾ.ɚ0.z
ɔ1.t.o0ʊ0.b.ɑ2.n, ɔ1.ɾ.o0ʊ0.b.ɑ2.n
ɹ.ɛ1.t.ɪ0.n.ɔ2.l, ɹ.ɛ1.ɾ.ɪ0.n.ɔ2.l
b.ɹ.ɑ0.n.k.ɑ1.t.o0ʊ0, b.ɹ.ɑ0.n.k.ɑ1.ɾ.o0ʊ0
g.ɹ.æ0.n.d.i0.n.ɛ1.t.i0, g.ɹ.æ0.n.d.i0.n.ɛ1.ɾ.i0
v.ɛ0.l.a2ɪ2.ɑ1.t.i0, v.ɛ0.l.a2ɪ2.ɑ1.ɾ.i0
p.ɹ.ɛ1.d.ʌ0.k.e2ɪ2.t.ɪ0.d, p.ɹ.ɛ1.d.ʌ0.k.e2ɪ2.ɾ.ɪ0.d
ɹ.ɛ2.t.ɚ0.ɪ1.ʃ.ʌ0.n.z, ɹ.ɛ2.ɾ.ɚ0.ɪ1.ʃ.ʌ0.n.z
j.u1.t.u2.b.z, j.u1.ɾ.u2.b.z
s.ɪ0.n.ɚ0.dʒ.ɛ1.t.ɪ0.k, s.ɪ0.n.ɚ0.dʒ.ɛ1.ɾ.ɪ0.k
p.o1ʊ1.t.ʌ0.n.t.e2ɪ2.t, p.o1ʊ1.ɾ.ʌ0.n.t.e2ɪ2.t
b.ɑ0.b.i1.t.ʌ0, b.ɑ0.b.i1.ɾ.ʌ0
b.ɛ0.n.v.ɛ0.n.u1.t.i0, b.ɛ0.n.v.ɛ0.n.u1.ɾ.i0
a1ɪ1.s.k.e2ɪ2.t.ɪ0.ŋ, a1ɪ1.s.k.e2ɪ2.ɾ.ɪ0.ŋ
p.ɪ1.t.ɚ0.d, p.ɪ1.ɾ.ɚ0.d
h.w.ɪ1.t.ʌ0.k.ɚ0, h.w.ɪ1.ɾ.ʌ0.k.ɚ0
b.l.æ1.t.ɚ0, b.l.æ1.ɾ.ɚ0
w.e1ɪ1.t.i0, w.e1ɪ1.ɾ.i0
g.u0.g.l.i0.o1ʊ1.t.ʌ0, g.u0.g.l.i0.o1ʊ1.ɾ.ʌ0
p.l.æ1.t.ʌ0.n.ʌ0.m.z, p.l.æ1.ɾ.ʌ0.n.ʌ0.m.z
m.ɪ1.t.i2, m.ɪ1.ɾ.i2
tʃ.æ2.t.ɪ0.h.ɑ1.tʃ.i0, tʃ.æ2.ɾ.ɪ0.h.ɑ1.tʃ.i0
b.ɛ1.t.ɚ0, b.ɛ1.ɾ.ɚ0
e2ɪ2.t.ɪ1.p.ɪ0.k, e2ɪ2.ɾ.ɪ1.p.ɪ0.k
s.k.i0.o1ʊ1.t.o0ʊ0, s.k.i0.o1ʊ1.ɾ.o0ʊ0
s.ɪ2.m.b.i0.ɑ1.t.ɪ0.k.s, s.ɪ2.m.b.i0.ɑ1.ɾ.ɪ0.k.s
e2ɪ2.d.ɹ.i0.æ1.t.ɪ0.k, e2ɪ2.d.ɹ.i0.æ1.ɾ.ɪ0.k
ɹ.ɪ0.g.ɹ.ɛ1.t.ɪ0.d, ɹ.ɪ0.g.ɹ.ɛ1.ɾ.ɪ0.d
æ1.l.ʌ0.k.e2ɪ2.t.ɪ0.d, æ1.l.ʌ0.k.e2ɪ2.ɾ.ɪ0.d
k.æ1.t.ʌ0.l.ɔ2.g.ɪ0.ŋ, k.æ1.ɾ.ʌ0.l.ɔ2.g.ɪ0.ŋ
p.i0.g.n.ɑ1.t.o0ʊ0, p.i0.g.n.ɑ1.ɾ.o0ʊ0
l.ɪ1.t.ɪ0.g, l.ɪ1.ɾ.ɪ0.g
s.t.ɪ1.m.j.ʌ0.l.e2ɪ2.t.ɚ0.z, s.t.ɪ1.m.j.ʌ0.l.e2ɪ2.ɾ.ɚ0.z
g.ɹ.ɪ1.t.ʌ0.n, g.ɹ.ɪ1.ɾ.ʌ0.n
s.ɪ1.t.i0.k.ɔ2.ɹ.p.s, s.ɪ1.ɾ.i0.k.ɔ2.ɹ.p.s
ɪ2.l.ɪ1.t.ɚ0.ʌ0.t, ɪ2.l.ɪ1.ɾ.ɚ0.ʌ0.t
s.ʌ1.t.ʌ0.l.z, s.ʌ1.ɾ.ʌ0.l.z
ʌ0.k.ɑ1.m.ʌ0.d.e2ɪ2.t.ɪ0.ŋ, ʌ0.k.ɑ1.m.ʌ0.d.e2ɪ2.ɾ.ɪ0.ŋ
k.ɑ1.m.p.ʌ0.n.s.e2ɪ2.t.ɪ0.ŋ, k.ɑ1.m.p.ʌ0.n.s.e2ɪ2.ɾ.ɪ0.ŋ
ɪ1.n.ʌ0.g.ɹ.e2ɪ2.t.ɪ0.d, ɪ1.n.ʌ0.g.ɹ.e2ɪ2.ɾ.ɪ0.d
p.l.ɑ1.t.ɪ0.ŋ, p.l.ɑ1.ɾ.ɪ0.ŋ
s.i1.t.ʌ0.d, s.i1.ɾ.ʌ0.d
ɪ0.g.z.æ1.s.ɚ0.b.e2ɪ2.t.ɪ0.d, ɪ0.g.z.æ1.s.ɚ0.b.e2ɪ2.ɾ.ɪ0.d
ɹ.o1ʊ1.t.e2ɪ2.t, ɹ.o1ʊ1.ɾ.e2ɪ2.t
s.p.l.æ1.t.ɚ0.z, s.p.l.æ1.ɾ.ɚ0.z
d.æ1.t.ʌ0.m.ɛ2.t.ɹ.ɪ0.k.s, d.æ1.ɾ.ʌ0.m.ɛ2.t.ɹ.ɪ0.k.s
s.t.æ2.t.ɪ0.s.t.ɪ1.ʃ.ʌ0.n.z, s.t.æ2.ɾ.ɪ0.s.t.ɪ1.ʃ.ʌ0.n.z
p.ɹ.o1ʊ1.t.o0ʊ0.t.a2ɪ2.p.ɪ0.ŋ, p.ɹ.o1ʊ1.ɾ.o0ʊ0.t.a2ɪ2.p.ɪ0.ŋ
j.ɑ0.m.ɑ0.g.ɑ1.t.ʌ0, j.ɑ0.m.ɑ0.g.ɑ1.ɾ.ʌ0
ʃ.ɑ1.ɹ.p.ʃ.u2.t.ɚ0, ʃ.ɑ1.ɹ.p.ʃ.u2.ɾ.ɚ0
n.u1.t.a2ʊ2.n, n.u1.ɾ.a2ʊ2.n
n.i2.k.o0ʊ0.l.ɛ1.t.i0, n.i2.k.o0ʊ0.l.ɛ1.ɾ.i0
t.e1ɪ1.t.ɚ0, t.e1ɪ1.ɾ.ɚ0
s.ɑ2.n.ɑ1.t.ʌ0.z, s.ɑ2.n.ɑ1.ɾ.ʌ0.z
æ0.s.f.ɪ1.k.s.i0.e2ɪ2.t.ɪ0.ŋ, æ0.s.f.ɪ1.k.s.i0.e2ɪ2.ɾ.ɪ0.ŋ
ʌ0.b.ɹ.i1.v.i0.e2ɪ2.t.ɪ0.d, ʌ0.b.ɹ.i1.v.i0.e2ɪ2.ɾ.ɪ0.d
b.j.u1.t.ʌ0.f.ʌ0.l, b.j.u1.ɾ.ʌ0.f.ʌ0.l
e2ɪ2.t.ɪ1.p.ɪ0.k.ʌ0.l, e2ɪ2.ɾ.ɪ1.p.ɪ0.k.ʌ0.l
k.j.ɑ0.k.u1.t.o0ʊ0, k.j.ɑ0.k.u1.ɾ.o0ʊ0
n.o1ʊ1.t.ɪ0.s, n.o1ʊ1.ɾ.ɪ0.s
